episode, result, self hp, boss hp, total reward, time
532, 1, 2, 901, -13.000, 65.525
533, 1, 8, 901, 56.000, 50.856
534, 1, 4, 901, 11.000, 64.563
535, 0, 0, 100, -44.500, 42.299
536, 1, 5, 901, 2.500, 73.744
537, 1, 7, 901, 29.500, 53.110
538, 1, 3, 901, -11.000, 54.746
539, 1, 1, 901, -34.000, 61.378
540, 1, 5, 901, 9.000, 63.411
541, 1, 1, 901, -57.000, 63.002
542, 1, 2, 901, -13.500, 68.042
543, 1, 4, 901, 22.500, 54.670
544, 1, 5, 901, 27.000, 52.151
545, 1, 6, 901, 31.000, 56.109
546, 1, 7, 901, 44.000, 54.308
547, 1, 6, 901, 21.500, 62.588
548, 1, 6, 901, 27.500, 63.457
549, 1, 1, 901, -23.000, 75.392
550, 1, 7, 901, 33.000, 54.136
551, 1, 6, 901, 26.000, 56.572
552, 1, 5, 901, 24.000, 58.159
553, 1, 7, 901, 30.000, 62.719
554, 1, 6, 901, 43.000, 50.158
555, 0, 0, 4, -28.500, 67.492
556, 1, 6, 901, 13.000, 71.439
557, 1, 6, 901, 39.500, 45.236
558, 0, 0, 228, -62.000, 45.045
559, 1, 2, 901, -26.000, 72.299
560, 1, 7, 901, 55.500, 47.214
561, 1, 5, 901, 24.500, 55.479
562, 1, 6, 901, 43.000, 51.636
563, 1, 2, 901, 4.500, 57.435
564, 1, 4, 901, 15.500, 56.296
565, 1, 5, 901, 27.000, 49.427
566, 1, 5, 901, 18.000, 68.715
567, 1, 5, 901, 4.000, 85.618
568, 1, 4, 901, -4.500, 66.839
569, 1, 6, 901, 21.500, 63.807
570, 1, 5, 901, 19.500, 59.884
571, 1, 7, 901, 41.000, 63.322
572, 1, 6, 901, 28.000, 58.467
573, 1, 7, 901, 48.000, 48.769
574, 1, 3, 901, 6.000, 56.436
575, 1, 5, 901, 23.000, 51.192
576, 1, 8, 901, 70.000, 38.675
577, 1, 8, 901, 64.000, 47.114
578, 1, 7, 901, 45.000, 49.211
579, 1, 3, 901, -2.000, 65.837
580, 1, 9, 901, 65.500, 55.656
581, 1, 3, 901, 4.500, 49.621
582, 1, 6, 901, 30.000, 64.963
583, 1, 5, 901, 32.000, 49.215
584, 1, 7, 901, 51.000, 67.784
585, 1, 6, 901, 25.000, 82.660
586, 1, 3, 901, 2.500, 74.046
587, 1, 7, 901, 46.000, 57.396
588, 1, 4, 901, 11.000, 62.121
589, 1, 4, 901, 19.000, 52.009
590, 1, 3, 901, 21.000, 54.425
591, 1, 5, 901, 21.000, 54.759
592, 1, 5, 901, 23.500, 61.223
593, 1, 2, 901, -1.500, 65.666
594, 1, 7, 901, 47.500, 53.625
595, 1, 4, 901, 11.500, 62.642
596, 1, 7, 901, 55.500, 57.427
597, 1, 5, 901, -0.500, 80.845
598, 1, 6, 901, 35.500, 40.799
599, 1, 4, 901, -24.000, 78.350
600, 1, 3, 901, -12.000, 59.964
